ano,estado,consumo_residencial_absoluto,consumo_industrial_absoluto,populacao_absoluta,pib_absoluto,ideb,consumo_residencial_per_capita,consumo_industrial_per_capita,pib_per_capita,populacao_absoluta_yoy,consumo_residencial_absoluto_yoy,consumo_industrial_absoluto_yoy,populacao_absoluta_yoy_acumulado,consumo_residencial_absoluto_yoy_acumulado,lat,long,regiao,sigla
2011,Alagoas,1019796.0,1627283.0,3143384.0,31657320736.0,3.5,0.32442615983284256,0.5176850807919109,10071.09558870313,0.7335377026842504,10.133082496460455,-14.165956342491592,5.5,58.099999999999994,-9.665227,-35.735008,Nordeste,AL
2012,Alagoas,1096220.0,1945027.0,3165472.0,34650397469.0,3.6,0.346305385105286,0.614450862304263,10946.360438190577,0.7026822049103876,7.494047829173689,19.526044332792768,6.2,70.0,-9.665227,-35.735008,Nordeste,AL
2013,Alagoas,1227063.0,2072949.0,3300935.0,37282529122.0,3.7000000000000006,0.3717319486751481,0.6279884335801826,11294.53597904836,4.279393404838205,11.935834047910099,6.5768752824511,10.7,90.3,-9.665227,-35.735008,Nordeste,AL
2014,Alagoas,1306645.0,2127647.0,3321730.0,40974994014.0,4.0,0.3933627958925018,0.640523763219768,12335.437863402503,0.6299730227950606,6.485567570695228,2.6386563297022825,11.4,102.60000000000001,-9.665227,-35.735008,Nordeste,AL
2015,Alagoas,1325689.0,2055743.0,3340932.0,46367210608.0,4.3,0.396802149819272,0.6153202160355254,13878.525695225164,0.5780722695703844,1.4574731468761648,-3.379507972892115,12.1,105.60000000000001,-9.665227,-35.735008,Nordeste,AL
2016,Alagoas,1306823.0,2041443.0,3358963.0,49468740909.0,4.6,0.38905549123345506,0.6077598949437669,14727.384883072544,0.5396997005626014,-1.4231090399030255,-0.6956122433592116,12.7,102.60000000000001,-9.665227,-35.735008,Nordeste,AL
2017,Alagoas,1393966.0,1970954.0,3375823.0,52851066935.0,4.9,0.41292627012731414,0.5838439989300387,15655.757702640216,0.5019406286999928,6.668309327276911,-3.452900717776597,13.200000000000001,116.10000000000001,-9.665227,-35.735008,Nordeste,AL
2018,Alagoas,1435484.0,1667387.0,3322820.0,54413046658.0,5.1,0.4320077524512312,0.5017987733310862,16375.562521593105,-1.5700763932232187,2.978408368640273,-15.402033735947162,11.5,122.6,-9.665227,-35.735008,Nordeste,AL
2019,Alagoas,1439643.0,1019567.0,3337357.0,58963728728.0,5.3,0.4313721906286921,0.30550132934534724,17667.791826885765,0.43748984296470006,0.2897280638446631,-38.852407989267036,12.0,123.2,-9.665227,-35.735008,Nordeste,AL
2020,Alagoas,1556608.0,728269.0,3351543.0,63202348928.0,5.3,0.46444518241299604,0.21729364653832578,18857.68701997856,0.42506690174290984,8.124583664144524,-28.570756017015064,12.4,141.4,-9.665227,-35.735008,Nordeste,AL
2004,Amapá,242135.0,23236.0,547400.0,3824739763.0,3.0,0.4423364998173182,0.042447935696017534,6987.102234198027,,,,0.0,0.0,0.035571,-51.060405,Norte,AP
2005,Amapá,266063.0,32422.0,594587.0,4306410130.0,3.0,0.4474753063891407,0.0545286055699166,7242.691363921512,8.620204603580572,9.88209056931051,39.53348252711311,8.6,9.9,0.035571,-51.060405,Norte,AP
2006,Amapá,275790.0,48122.0,615715.0,5280821943.0,3.15,0.44791827387671246,0.07815628984189113,8576.731024906003,3.5533908410375625,3.655901045992871,48.42390969095058,12.5,13.900000000000002,0.035571,-51.060405,Norte,AP
2007,Amapá,283979.0,50938.0,587311.0,6012522851.0,3.2999999999999994,0.4835240613576112,0.08673088023210872,10237.374833776314,-4.613173302583173,2.9692882265491827,5.851793358547019,7.3,17.299999999999997,0.035571,-51.060405,Norte,AP
2008,Amapá,306919.0,53002.0,613164.0,6950413077.0,3.5499999999999994,0.5005496082614113,0.08644016935110346,11335.324769555942,4.4019267474983526,8.078062110226458,4.051984765793715,12.0,26.8,0.035571,-51.060405,Norte,AP
2009,Amapá,344436.0,37809.0,626609.0,7490655556.0,3.7999999999999994,0.5496824973787482,0.06033906311591439,11954.273807110974,2.192724947974778,12.223746330465035,-28.66495603939474,14.499999999999998,42.199999999999996,0.035571,-51.060405,Norte,AP
2010,Amapá,396539.0,34637.0,669526.0,8237795351.0,3.9,0.5922682614267407,0.05173361452729244,12303.921507155808,6.8490877086029744,15.127048276022247,-8.389536882752779,22.3,63.800000000000004,0.035571,-51.060405,Norte,AP
2011,Amapá,419634.0,34702.0,684309.0,9409228041.0,4.0,0.613222973831997,0.050711009207828624,13749.969737355494,2.2079799738919714,5.824143400775217,0.18766059416230885,25.0,73.3,0.035571,-51.060405,Norte,AP
2012,Amapá,448284.0,36580.0,698602.0,11130867802.0,3.9500000000000006,0.6416872554043647,0.05236171668560926,15933.060314742872,2.0886763143550757,6.827378143811025,5.411791827560375,27.6,85.1,0.035571,-51.060405,Norte,AP
2013,Amapá,499596.0,38007.0,734996.0,12763486218.0,3.9,0.6797261481695138,0.05171048549924081,17365.381876908174,5.209547066856368,11.44631528227642,3.901038819026792,34.300000000000004,106.3,0.035571,-51.060405,Norte,AP
2014,Amapá,534027.0,39221.0,750912.0,13400283590.0,4.1,0.7111712158015853,0.05223115358390863,17845.34484733231,2.165453961654218,6.891768548987587,3.194148446338829,37.2,120.5,0.035571,-51.060405,Norte,AP
2015,Amapá,565435.0,37372.0,766679.0,13861293272.0,4.3,0.7375120487192163,0.04874530279295507,18079.656899432488,2.0997134151538477,5.881350568416943,-4.714311210830935,40.1,133.5,0.035571,-51.060405,Norte,AP
2016,Amapá,621343.0,47403.0,782295.0,14342135081.0,4.35,0.7942566423152392,0.060594788411021415,18333.410134284382,2.0368367987123603,9.88760865528311,26.84095044418282,42.9,156.6,0.035571,-51.060405,Norte,AP
2017,Amapá,579131.0,61741.0,797722.0,15481908326.0,4.4,0.7259809808429503,0.07739663692364007,19407.64868713662,1.9720182284176602,-6.793671128507118,30.247030778642703,45.7,139.2,0.035571,-51.060405,Norte,AP
2018,Amapá,544967.0,87699.0,829494.0,16795206668.0,4.55,0.6569872717584455,0.10572590036817626,20247.532433025433,3.9828411401465758,-5.8991834317278835,42.04337474287752,51.5,125.1,0.035571,-51.060405,Norte,AP
2019,Amapá,524498.0,106093.0,845731.0,17496661074.0,4.7,0.6201711891842678,0.1254453248136819,20688.210641445094,1.9574584023513086,-3.7560072444753567,20.97401338669769,54.50000000000001,116.6,0.035571,-51.060405,Norte,AP
2020,Amapá,517968.0,106654.0,861773.0,18469114505.0,4.7,0.6010492322224066,0.12376112967103867,21431.530698919552,1.896820620268147,-1.2449999809341472,0.5287813522098617,57.4,113.9,0.035571,-51.060405,Norte,AP
2004,Amazonas,966737.0,1323257.0,3138726.0,31090695798.0,2.5,0.3080029922968746,0.4215904797041857,9905.514466060433,,,,0.0,0.0,-3.119028,-60.021731,Norte,AM
2005,Amazonas,996819.0,1413683.0,3232330.0,33980876529.0,2.5,0.30839023243295083,0.4373572624082318,10512.811664959952,2.982229095499256,3.1117046311458063,6.833593171999097,3.0,3.1,-3.119028,-60.021731,Norte,AM
2006,Amazonas,999463.0,1533970.0,3311026.0,39933212635.0,2.9500000000000006,0.30185900080518846,0.46329143896786074,12060.676248087451,2.4346524024465355,0.2652437403380059,8.508767524261106,5.5,3.4000000000000004,-3.119028,-60.021731,Norte,AM
2007,Amazonas,1071003.0,1584036.0,3221940.0,43479773086.0,3.4,0.3324093558539265,0.49164044023166165,13494.904649372738,-2.6905859392224674,7.157843762100247,3.2638187187493894,2.7,10.8,-3.119028,-60.021731,Norte,AM
2008,Amazonas,1122959.0,1663361.0,3341096.0,48115264642.0,3.6,0.33610497872554396,0.4978489094596504,14401.042245418868,3.6982687449176543,4.8511535448546805,5.007777601014118,6.4,16.2,-3.119028,-60.021731,Norte,AM
2009,Amazonas,1197688.0,1480710.0,3393369.0,50559839676.0,3.7999999999999994,0.3529495318664136,0.43635395973735835,14899.599682793118,1.564546484147722,6.654650793127792,-10.980839396859732,8.1,23.9,-3.119028,-60.021731,Norte,AM
2010,Amazonas,1317611.0,1651843.0,3483985.0,60877122684.0,4.0,0.37819077866293915,0.47412460156975417,17473.416987731005,2.67038450578172,10.012874805458516,11.55749606607641,11.0,36.3,-3.119028,-60.021731,Norte,AM
2011,Amazonas,1385605.0,1775360.0,3538387.0,70734401222.0,4.2,0.39159227071544184,0.5017427432330042,19990.577972957733,1.5614877790805615,5.160400148450495,7.477526617239039,12.7,43.3,-3.119028,-60.021731,Norte,AM
2012,Amazonas,1555126.0,1816286.0,3590985.0,72242700676.0,4.35,0.4330639086490197,0.5057904725305173,20117.79516650724,1.48649653076387,12.234439107826557,2.3052226027397316,14.399999999999999,60.9,-3.119028,-60.021731,Norte,AM
2013,Amazonas,1783658.0,1783888.0,3807921.0,83051232958.0,4.5,0.46840730151702203,0.4684677019297407,21810.124988937532,6.041127991344997,14.695400887130683,-1.783749916037447,21.3,84.5,-3.119028,-60.021731,Norte,AM
2014,Amazonas,2011399.0,1786929.0,3873743.0,86668643770.0,4.75,0.5192391441559236,0.4612926051108708,22373.359247115775,1.7285547678116187,12.768198836324007,0.17047034342962952,23.400000000000002,108.1,-3.119028,-60.021731,Norte,AM
2015,Amazonas,2190240.0,1670261.0,3938336.0,86568184233.0,5.0,0.5561333517505871,0.42410322532155714,21980.90366921461,1.6674570305774017,8.891373616075171,-6.52896673566773,25.5,126.6,-3.119028,-60.021731,Norte,AM
2016,Amazonas,2124621.0,1551799.0,4001667.0,89039781991.0,5.15,0.5309339832624753,0.38778813929294964,22250.672529973133,1.608064928944608,-2.995973044049971,-7.092424477372095,27.500000000000004,119.8,-3.119028,-60.021731,Norte,AM
2017,Amazonas,2002570.0,1594564.0,4063614.0,93240190919.0,5.3,0.4928051729322716,0.39240045929559253,22945.139700522737,1.5480298585564434,-5.744601037079089,2.755833713000211,29.5,107.1,-3.119028,-60.021731,Norte,AM
2018,Amazonas,2004509.0,1642698.0,4080611.0,100109235068.0,5.3,0.4912276617398718,0.402561773224647,24532.903300020513,0.41827299541739027,0.09682557913082146,3.018630798136668,30.0,107.3,-3.119028,-60.021731,Norte,AM
2019,Amazonas,2037247.0,1653878.0,4144597.0,108181090996.0,5.3,0.4915428448169991,0.39904434616924156,26101.715316591697,1.5680494906277431,1.6332179102213962,0.6805876673618538,32.0,110.7,-3.119028,-60.021731,Norte,AM
2020,Amazonas,2253030.0,1661408.0,4207714.0,116019139386.0,5.3,0.5354522669554062,0.39484812893651994,27572.96227500253,1.5228742384362004,10.591891901178396,0.45529355853333175,34.1,133.1,-3.119028,-60.021731,Norte,AM
2004,Bahia,3294250.0,9485279.0,13682074.0,77931724707.0,2.5,0.2407712456459452,0.6932632435696517,5695.899956907118,,,,0.0,0.0,-12.971598,-38.501548,Nordeste,BA
2005,Bahia,3505550.0,9639908.0,13815334.0,88291882625.0,2.5,0.2537434129352211,0.6977687256782934,6390.86124338362,0.9739751444115763,6.414206572057379,1.6301998075122448,1.0,6.4,-12.971598,-38.501548,Nordeste,BA
2006,Bahia,3666525.0,9587889.0,13950146.0,95347801942.0,2.85,0.2628305825616449,0.6872966777552005,6834.896347464751,0.9758142655110547,4.592004107771963,-0.5396213324857402,2.0,11.3,-12.971598,-38.501548,Nordeste,BA
