sigla_uf,ano,populacao
MG,2009,20033665
MS,2009,2360498
MT,2009,3001692
PA,2009,7397238
PB,2009,3769977
PE,2009,8810256
PI,2009,3145325
PR,2009,10686247
RJ,2009,16010429
RN,2009,3137541
RO,2009,1503928
RR,2009,421499
RS,2009,10914128
SC,2009,6118743
SE,2009,2019679
SP,2009,41384039
TO,2009,1292051
AC,2010,733559
AL,2010,3120494
AM,2010,3483985
AP,2010,669526
BA,2010,14016906
CE,2010,8452381
DF,2010,2570160
ES,2010,3514952
GO,2010,6003788
MA,2010,6574789
MG,2010,19597330
MS,2010,2449024
MT,2010,3035122
PA,2010,7581051
PB,2010,3766528
PE,2010,8796448
PI,2010,3118360
PR,2010,10444526
RJ,2010,15989929
RN,2010,3168027
RO,2010,1562409
RR,2010,450479
RS,2010,10693929
SC,2010,6248436
SE,2010,2068017
SP,2010,41262199
TO,2010,1383445
AC,2011,746386
AL,2011,3143384
AM,2011,3538387
AP,2011,684309
BA,2011,14097534
CE,2011,8530155
DF,2011,2609998
ES,2011,3547055
GO,2011,6080716
MA,2011,6645761
MG,2011,19728701
MS,2011,2477542
MT,2011,3075936
PA,2011,7688593
PB,2011,3791315
PE,2011,8864906
PI,2011,3140328
PR,2011,10512349
RJ,2011,16112678
RN,2011,3198657
RO,2011,1576455
RR,2011,460165
RS,2011,10733030
SC,2011,6317054
SE,2011,2089819
SP,2011,41587182
TO,2011,1400892
AC,2012,758786
AL,2012,3165472
AM,2012,3590985
AP,2012,698602
BA,2012,14175341
CE,2012,8606005
DF,2012,2648532
ES,2012,3578067
GO,2012,6154996
MA,2012,6714314
MG,2012,19855332
MS,2012,2505088
MT,2012,3115336
PA,2012,7792561
PB,2012,3815171
PE,2012,8931028
PI,2012,3160748
PR,2012,10577755
RJ,2012,16231365
RN,2012,3228198
RO,2012,1590011
RR,2012,469524
RS,2012,10770603
SC,2012,6383286
SE,2012,2110867
SP,2012,41901219
TO,2012,1417694
AC,2013,776463
AL,2013,3300935
AM,2013,3807921
AP,2013,734996
BA,2013,15044137
CE,2013,8778576
DF,2013,2789761
ES,2013,3839366
GO,2013,6434048
MA,2013,6794301
MG,2013,20593356
MS,2013,2587269
MT,2013,3182113
PA,2013,7969654
PB,2013,3914421
PE,2013,9208550
PI,2013,3184166
PR,2013,10997465
RJ,2013,16369179
RN,2013,3373959
RO,2013,1728214
RR,2013,488072
RS,2013,11164043
SC,2013,6634254
SE,2013,2195662
SP,2013,43663669
TO,2013,1478164
AC,2014,790101
AL,2014,3321730
AM,2014,3873743
AP,2014,750912
BA,2014,15126371
CE,2014,8842791
DF,2014,2852372
ES,2014,3885049
GO,2014,6523222
MA,2014,6850884
MG,2014,20734097
MS,2014,2619657
MT,2014,3224357
PA,2014,8073924
PB,2014,3943885
PE,2014,9277727
PI,2014,3194718
PR,2014,11081692
RJ,2014,16461173
RN,2014,3408510
RO,2014,1748531
RR,2014,496936
RS,2014,11207274
SC,2014,6727148
SE,2014,2219574
SP,2014,44035304
TO,2014,1496880
AC,2015,803513
AL,2015,3340932
AM,2015,3938336
AP,2015,766679
BA,2015,15203334
CE,2015,8904459
DF,2015,2914830
ES,2015,3929911
GO,2015,6610681
MA,2015,6904241
MG,2015,20869101
MS,2015,2651235
MT,2015,3265486
PA,2015,8175113
PB,2015,3972202
PE,2015,9345173
PI,2015,3204028
PR,2015,11163018
RJ,2015,16550024
RN,2015,3442175
RO,2015,1768204
RR,2015,505665
RS,2015,11247972
SC,2015,6819190
SE,2015,2242937
SP,2015,44396484
TO,2015,1515126
AC,2016,816687
AL,2016,3358963
AM,2016,4001667
AP,2016,782295
BA,2016,15276566
CE,2016,8963663
DF,2016,2977216
ES,2016,3973697
GO,2016,6695855
MA,2016,6954036
MG,2016,20997560
MS,2016,2682386
MT,2016,3305531
PA,2016,8272724
PB,2016,3999415
PE,2016,9410336
PI,2016,3212180
PR,2016,11242720
RJ,2016,16635996
RN,2016,3474998
RO,2016,1787279
RR,2016,514229
RS,2016,11286500
SC,2016,6910553
SE,2016,2265779
SP,2016,44749699
