Empresa de Pesquisa Energética - EPE,,,,,,,,,,,,,
Consumo de energia elétrica na rede (MWh),,,,,,,,,,,,,
Sistema SIMPLES,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2023*,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,  43.093.328 ,  41.507.063 ,  43.661.452 ,  42.657.442 ,  40.784.638 ,  40.428.923 ,  40.190.502 ,  40.908.016 ,  41.952.552 ,  42.596.651 ,  41.869.276 ,  42.915.951 ,  502.565.793 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  2.873.241 ,  2.756.767 ,  2.891.451 ,  2.986.818 ,  3.053.069 ,  3.043.949 ,  3.034.193 ,  3.144.878 ,  3.172.368 ,  3.201.778 ,  3.161.073 ,  3.159.175 ,  36.478.760 
Nordeste,  7.419.803 ,  7.043.661 ,  7.244.997 ,  7.205.498 ,  6.974.430 ,  6.994.342 ,  6.994.258 ,  7.110.502 ,  7.190.596 ,  7.540.206 ,  7.484.406 ,  7.714.748 ,  86.917.447 
Sudeste,  21.497.695 ,  20.562.263 ,  21.988.991 ,  21.061.907 ,  19.953.595 ,  19.751.841 ,  19.528.232 ,  19.800.844 ,  20.664.260 ,  20.795.884 ,  20.237.021 ,  20.723.920 ,  246.566.450 
Sul,  8.117.258 ,  7.972.092 ,  8.257.890 ,  8.114.934 ,  7.579.902 ,  7.330.463 ,  7.472.284 ,  7.611.805 ,  7.349.094 ,  7.447.106 ,  7.611.454 ,  7.896.309 ,  92.760.592 
Centro-Oeste,  3.185.331 ,  3.172.280 ,  3.278.122 ,  3.288.285 ,  3.223.643 ,  3.308.328 ,  3.161.535 ,  3.239.988 ,  3.576.234 ,  3.611.676 ,  3.375.322 ,  3.421.799 ,  39.842.543 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  237.650 ,  229.734 ,  230.447 ,  250.318 ,  241.255 ,  230.634 ,  227.645 ,  240.727 ,  262.271 ,  261.891 ,  255.819 ,  249.263 ,  2.917.652 
Norte,  2.969.159 ,  2.836.646 ,  2.973.993 ,  3.037.187 ,  3.121.817 ,  3.140.880 ,  3.186.793 ,  3.265.815 ,  3.277.932 ,  3.305.404 ,  3.283.431 ,  3.291.787 ,  37.690.844 
